,Overtakes,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,88,Bahrain,2,0,1,1,0,0,0.05,0.1,0.25,0.1,0,0.2,0.4,-0.05,0.25,0.05,0.35,0.05,0.2,-0.1,0.2,0,-0.7,-0.85,-0.5
1,60,Saudi Arabia,7,0,1,2,0,0.15,0,0,-0.15,0.05,-0.05,0.2,0.05,0.05,0.25,0.05,0.25,0,0.1,-0.35,-0.45,-0.15,0,0,0
2,78,Australia,5,0,2,2,0,0,0.05,0.15,0.05,-0.05,0.05,0.05,0.2,0.1,0.5,0.15,0.35,0.1,0.1,-0.1,0.1,-0.35,-0.8,-0.1,-0.55
3,110,Italy,3,0,1,0,0,0,0.05,0.1,0.35,0.1,-0.2,0.25,0.25,-0.05,0.25,0.35,0.25,0.05,0.1,-0.75,0.15,-0.35,-0.6,-0.5,-0.8
4,95,United States,5,0,1,1,1,0.1,-0.05,-0.05,0,0.35,0,-0.1,0.6,0.45,-0.5,0,-0.15,0.05,0.25,0,0,-0.85,-0.55,-0.55,-0.15
5,80,Spain,4,0,0,0,0,0.05,0.15,0.05,-0.05,0.05,0.05,0.25,0.15,0.55,0.15,0.25,-0.15,0.05,-0.2,0.1,0.15,-0.45,0,-0.2,-0.95
6,52,Monaco,12,2,2,1,1,0.1,0,0.05,-0.15,0.05,-0.05,0,0,0.15,-0.05,0.3,-0.1,0.05,0.2,0.2,0.2,-0.3,-0.1,-0.2,-0.35
7,88,Azerbaijan,10,0,0,2,0,0.1,0,0.1,0.15,0.05,0.15,0.15,0.2,0.1,0.15,0.2,0.25,-0.25,0.3,0.15,0.15,-0.05,-0.2,-0.9,-0.8
8,86,Canada,4,0,1,2,0,0,0.05,0.05,0.2,0.7,0.05,0.2,0.1,-0.35,0.35,-0.1,0.2,-0.05,0.05,-0.05,0.1,-0.6,0.1,-0.65,-0.35
9,86,Great Britain,4,1,1,0,1,0,0.1,0.1,-0.05,0.1,0,-0.25,0.55,0.45,0.35,0.45,-0.1,0.05,-0.05,0,-0.25,-0.25,-0.5,-0.5,-0.2
10,76,Austria,3,0,0,1,0,0.05,-0.05,0.25,0,0.05,0.15,0.15,-0.05,0.1,0.45,-0.55,0.15,-0.05,-0.05,-0.05,0,0.05,-0.75,-0.1,-0.75
11,72,France,7,0,1,1,0,0.05,0.1,0.15,-0.05,0.7,0.05,-0.1,0.1,0,0.25,0.05,0.1,0,-0.15,0.1,0,0.05,0.1,-0.9,-0.6
12,86,Hungary,7,0,0,2,1,0.45,0.25,-0.1,-0.1,0.3,-0.15,-0.15,-0.1,-0.2,0.4,0.15,-0.6,-0.05,0.05,-0.3,-0.15,0,0.05,-0.15,-0.6
13,118,Belgium,4,0,1,0,0,0.65,0,-0.1,0.05,-0.1,0.45,0.45,0.1,-0.45,-0.2,-0.1,0.25,-0.65,0.2,-0.4,-0.2,0.1,-0.35,-0.3,-0.8
14,54,Netherlands,5,0,1,1,0,0,0.2,-0.05,0,0,0.35,0,-0.25,0.15,0,0,0.15,-0.25,0.25,0.15,-0.1,0,0.1,-0.15,-0.55
15,114,Italy,4,0,1,1,0,0.3,-0.05,-0.05,0.7,0.7,0.35,-0.2,-0.15,-0.05,-0.05,0.15,0.25,0.1,0.3,-0.25,0,-0.65,-0.3,-0.65,-0.45
16,84,Singapore,11,0,2,3,1,0.05,-0.05,0.05,0.1,0.55,0.25,0.05,0.25,-0.3,-0.15,0.2,-0.15,-0.05,-0.7,-0.25,0.05,0.05,-0.65,0,-0.3
17,58,Japan,2,1,1,0,1,0,0.1,-0.05,0.05,0.05,0.15,0,0,0.55,0,0,0.35,0,0.2,-0.15,-0.1,-0.1,-0.05,-0.8,-0.2
18,110,United States,7,0,2,0,0,0.05,0.05,0.45,0.25,-0.05,0,0.35,0.1,0.2,0.45,-0.55,0.3,-0.25,-0.15,0.05,-0.05,0,-0.65,-0.6,-0.95
19,52,Mexico,2,0,0,1,0,0,0.05,0.05,-0.1,0,0.05,0.2,0.1,-0.05,-0.2,0.15,0.25,-0.05,0.1,0.25,-0.05,0.1,0,-0.5,-0.35
20,104,Brazil,3,0,2,1,0,0,0,0.2,0.05,0.6,-0.15,-0.15,0.4,0.25,0.25,-0.1,0.05,-0.05,-0.2,0.2,0.1,-0.85,-0.6,-0.55,-0.45
21,60,Abu Dhabi,2,0,0,0,0,0,0.05,-0.05,0,0.05,0.05,0.05,0.3,0.2,-0.05,0,0.15,0.3,0.15,0.15,-0.2,-0.05,-0.65,0.05,-0.5
