,Overtakes,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,46,Bahrain,3,0,0,0,0,0,0.15,0.05,-0.1,-0.1,0.05,0.1,0,-0.15,0.1,0.3,0.15,0.05,-0.15,-0.1,-0.3,0.1,0.1,-0.15,-0.1
1,50,Saudi Arabia,2,0,1,0,0,0,0.05,-0.05,0.05,-0.05,0.05,0.2,-0.1,-0.05,0.25,0.05,0.05,0.2,0.25,-0.3,-0.1,-0.05,0.1,-0.45,-0.1
2,74,Australia,3,0,0,2,0,0.05,0.1,0,0.05,0.05,0.15,0.05,0.1,0.35,0.2,0.05,0.3,0.2,-0.05,0.2,-0.05,-0.5,-0.35,-0.9,0
3,44,Japan,2,1,0,0,0,0,0,0.05,0.2,-0.1,-0.05,0.1,-0.1,-0.1,0,0.05,0.2,0.25,-0.05,0,0.05,0.1,0.1,-0.4,-0.3
4,58,China,3,0,2,1,0,0,0.1,-0.05,0.1,0.1,0.1,-0.2,-0.15,0.45,-0.05,0.1,0.1,0.1,0.1,-0.2,0.05,0.15,-0.3,0,-0.5
5,56,United States,1,0,1,1,0,0.2,-0.05,-0.05,0,-0.1,0.1,0.15,-0.05,0.3,0.15,-0.1,0,-0.35,0.25,0.25,0,-0.3,-0.2,-0.05,-0.15
6,42,Italy,3,0,0,0,0,0,0,0,0.05,-0.05,0.1,-0.05,0.15,0.2,-0.15,-0.05,0.3,-0.2,-0.1,0.1,-0.05,0.1,-0.1,0.05,-0.3
7,18,Monaco,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.2,-0.05,0,0.1,-0.3,-0.1,0,0
8,97,Canada,9,0,2,0,1,0.05,0.05,-0.1,0.15,-0.05,0,0.1,-0.15,0.3,0.4,0.3,0.1,-0.65,-0.3,-0.75,-0.2,-0.35,-0.1,-0.4,-0.35
9,46,Spain,1,0,0,0,1,0.05,-0.05,0,0,0,0,0.1,0.15,-0.1,-0.1,0.1,-0.1,0.1,0,0.15,-0.2,-0.05,-0.9,-0.1,-0.05
10,64,Austria,1,0,0,1,1,0.1,0.25,0.05,0.05,-0.2,0.15,0.05,0.2,0.1,0.15,-0.25,-0.1,0.2,0,0.05,0.1,0.15,-0.15,0,-0.9
11,66,United Kingdom,0,0,0,0,1,0.05,0.1,0,0.05,0.1,0,0.05,0.1,0,0.15,0.05,0.25,0.1,-0.15,0.05,0.1,-0.85,-0.2,-0.9,-0.05
12,70,Hungary,1,0,0,0,0,0.05,-0.05,0.1,0.1,-0.1,-0.1,0.45,0.45,0.05,-0.1,-0.2,-0.15,-0.1,-0.05,0,-0.2,-0.15,0.05,-0.05,-1
13,56,Belgium,2,0,0,0,0,0.1,0.15,-0.1,0.35,-0.05,0.05,-0.25,0,0,0.15,0.2,-0.1,-0.05,0.15,-0.05,0.2,0.05,-0.1,0,-0.7
14,66,Netherlands,1,0,0,0,0,0,0,0.15,-0.05,0.25,-0.05,-0.15,0.3,0,-0.15,0.05,0.05,-0.25,0.25,0,0.1,-0.3,-0.9,-0.15,-0.15
15,42,Italy,0,0,0,0,0,0.15,0,-0.1,0.05,0.05,0.05,-0.2,0,0,0.15,0,0.3,-0.05,0.05,-0.05,0.15,-0.35,0.1,-0.1,-0.2
16,97,Azerbaijan,10,0,0,1,0,0.05,-0.05,0.1,0.55,0.05,0.05,0.1,0,-0.45,0,0.05,0.3,0.05,0.15,-0.75,0,-0.65,-0.75,-0.3,-0.45
17,54,Singapore,2,0,0,0,0,0,0,0.1,0,0.2,-0.15,0.15,-0.05,-0.15,0.15,0.05,-0.2,0.1,0.15,0.25,0.15,0.05,-0.1,-0.25,-0.45
18,76,United States,5,0,1,0,0,0.15,0.05,-0.05,-0.15,0,0.7,0.1,0.15,0.5,0.25,-0.15,-0.3,-0.3,-0.2,-0.1,-0.1,-0.05,-0.3,-0.05,-0.15
19,74,Mexico,3,0,1,0,0,0,0.05,0.05,0.1,0,-0.2,0,0.45,0.05,-0.1,0.15,0.2,-0.65,0.05,0.2,-0.2,0.05,-0.25,-0.5,-0.45
20,103,Brazil,12,1,2,1,1,0.8,0.1,0.5,-0.1,0.05,-0.25,-0.2,0,-0.2,0.2,0.05,0.15,-0.1,-0.25,0.2,-0.8,-0.05,-0.55,-0.45,-0.15
21,68,United States,2,0,0,0,0,0,0.4,-0.05,0,0,0,0.05,0.05,-0.1,0.25,0.25,0,0,-0.7,0.15,-0.1,-0.3,0.05,-0.1,-0.85
22,54,Qatar,9,0,3,1,0,0.05,0.15,0.05,-0.15,0.3,0.05,0.05,0.2,0.05,-0.35,0.1,-0.3,0.05,0.15,0.05,0.1,-0.4,-0.15,0,0
23,84,United Arab Emirates,5,0,0,1,0,0,0.05,0.8,0.6,0.05,-0.1,-0.1,-0.05,-0.05,-0.4,0.35,-0.05,0.1,-0.05,0.1,-0.1,-0.25,-0.45,0.05,-0.5
