,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Australia,6,0,1,1,1,0.1,-0.05,-0.05,0.2,0.25,-0.1,0,0.35,0.1,-0.05,0.05,0.1,0.25,-0.05,0.05,-0.5,-0.6,0.1,-0.1,-0.05
1,Bahrain,9,0,0,1,0,0,0.05,0.3,0.05,0.05,0.05,0.3,0.3,0.4,-0.1,-0.05,0.35,0.15,0.3,0.15,-0.2,-0.3,-0.8,-0.2,-0.8
2,China,3,0,1,0,1,0.25,0.05,-0.05,0,0,0.05,0.3,-0.35,0,0.05,0.05,-0.2,0.05,0.2,0.05,0.2,-0.35,-0.05,0,-0.25
3,Azerbaijan,10,0,2,0,0,0.05,0.2,0.25,-0.15,0.2,0.35,0.25,0.1,0.35,0.45,0.35,0.25,0.1,-0.55,0.25,-0.55,-0.65,-0.2,-0.6,-0.45
4,Spain,3,0,1,1,1,0,0,0.1,-0.05,0.05,0.05,0.1,0,0.3,0.2,0.35,0.4,0.2,0.25,-0.2,-0.15,-0.65,-0.4,-0.35,-0.2
5,Monaco,4,0,0,1,1,0,0,0,0,0,0,0.15,0.15,0.55,-0.1,0.25,-0.15,0.3,-0.1,0.15,-0.15,0,-0.2,-0.2,-0.65
6,Canada,4,0,1,0,0,0,0,0,0.1,-0.05,-0.05,0,0.05,-0.05,0.15,0.25,0.4,-0.1,-0.2,0.2,-0.05,0.05,-0.2,-0.35,-0.15
7,France,5,0,1,1,1,0,0.1,0.15,0.05,-0.1,0.15,-0.25,-0.05,0.15,-0.1,-0.05,0.25,0.1,0.3,0.15,0,0.1,-0.25,-0.4,-0.3
8,Austria,11,0,0,1,0,0.15,0.05,0.15,0.05,0.15,0.25,0.45,0.25,0.45,0.5,0.05,-0.15,0.2,0,0,-0.7,0.1,-0.55,-0.9,-0.5
9,Great Britain,10,0,2,0,0,0.05,-0.05,0,0,0.05,0.25,0.15,0.25,-0.1,0.1,0.3,0.35,0.05,0.2,-0.5,-0.4,-0.05,-0.15,-0.5,-1
10,Germany,6,0,1,0,1,0.65,0,0,0,0.1,0,0.15,0.35,0.2,0.35,-0.3,-0.2,0.3,0.1,-0.3,-0.25,0.05,-0.85,-0.35,0
11,Hungary,2,0,0,2,0,0,0.1,0,0.4,-0.15,0,0.1,0.15,-0.2,0,-0.15,0.05,0.25,0.25,-0.05,0.2,-0.1,-0.1,-0.6,-0.15
12,Belgium,3,0,1,0,0,0.05,-0.05,0.2,0.75,-0.05,-0.15,-0.1,0.05,0.05,0.15,0.15,0.2,0.2,-0.15,0.15,-0.4,-0.55,-0.3,-0.2,0
13,Italy,2,0,1,1,1,0.1,-0.05,0.05,-0.1,0,0.1,0.35,-0.05,0.05,0.1,0.2,0.25,0.35,-0.25,0.15,-0.25,0.1,-0.25,-0.15,-0.7
14,Singapore,1,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0.15,0.3,0.1,0.3,-0.35,-0.45,0,-0.1,0,-0.55
15,Russia,4,0,0,0,1,0.05,-0.05,0,0,0.7,0.6,0,-0.15,-0.15,-0.1,-0.1,0,-0.15,0.1,-0.05,-0.05,-0.3,-0.25,-0.1,0
16,Japan,3,0,1,1,0,0,0,0,0.55,-0.05,0.1,0.1,-0.15,0.1,0.15,-0.2,0.4,-0.35,0.2,0.2,0.05,-0.15,-0.4,-0.15,-0.4
17,United States,6,0,0,1,0,0.05,0.8,-0.1,0.05,-0.1,0.05,0.2,0.1,0.55,0.3,0.3,0.35,0.05,0.05,-0.3,-0.6,-0.45,-0.25,-0.65,-0.4
18,Mexico,4,0,0,3,0,0.05,0.1,0.15,-0.05,0,0.05,0.1,0.35,0.05,0.5,0,0.25,0.3,0,0.05,0.1,-0.8,-0.25,-0.55,-0.4
19,Brazil,3,0,0,0,0,0,0.15,0.05,0.35,-0.1,-0.2,0,0,0.05,0.1,0.25,0.15,-0.2,0.3,0.15,-0.1,0,0.05,-0.3,-0.7
20,United Arab Emirates,5,0,1,1,1,0,0.05,0.15,0.05,-0.15,0.25,0.05,0.3,-0.1,0.15,0.2,0.2,0.35,0.2,0.2,0.05,-0.4,-0.3,-0.75,-0.5
