,Overtakes,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,55,Bahrain,4,0,1,1,0,0.05,-0.05,0,0.15,-0.25,-0.1,-0.05,0,0.2,0,0.15,0,0.15,0.05,0.25,0.1,-0.6,-0.05,-0.5,-0.05
1,87,Italy,9,1,2,0,1,0.1,-0.05,0.2,0,0.3,0,-0.1,0.1,0,0.25,-0.45,0.4,0.15,0.15,-0.75,0.1,0.1,-0.5,-0.35,-0.3
2,48,Portugal,0,0,1,0,0,0.05,0.05,-0.1,0,0.1,0.1,-0.05,0.25,0.35,-0.05,-0.3,0,-0.15,0.15,-0.05,-0.25,0.1,0,0.05,-0.25
3,34,Spain,1,0,1,0,0,0,0,0,0,0.15,0.05,-0.05,0.05,-0.2,0.1,0,0.25,0,0.05,-0.05,0.15,-0.35,0,0.05,-0.2
4,70,Monaco,0,0,0,0,0,0.05,0.1,0.1,0.25,0.15,0,0,0.25,0.1,0,0.15,0,0.2,0.05,0.15,0,0.1,0.1,-0.8,-0.95
5,92,Azerbaijan,13,1,2,0,0,0.25,0.45,0.05,-0.15,0.2,0.1,0,-0.15,0.2,0.2,0.45,-0.1,0.2,0.2,-0.65,0,-0.1,-0.75,0,-0.4
6,66,France,0,0,0,0,0,0,0,0.05,-0.05,0.15,0.2,-0.05,0.05,0.15,0.45,-0.3,0.1,-0.65,-0.15,-0.1,-0.45,0,-0.1,-0.2,-0.1
7,54,Austria,1,0,0,0,0,0,0,0.1,0,-0.1,0.3,0,0.05,-0.05,0.05,0.35,0.1,0,0.15,0,0.15,-0.05,0.1,-0.45,-0.7
8,56,Austria,1,0,1,0,1,0,0.15,-0.05,0,0.25,-0.15,0.3,0.2,-0.15,0.2,-0.15,-0.25,-0.2,0.05,0.05,0.1,-0.3,0.05,0.05,-0.15
9,76,Great Britain,5,1,1,0,0,0.05,0.1,0,0.05,0.05,0.2,0,0.3,0,0.3,0,0,0.1,0.15,-0.1,-0.8,0.1,0,-0.55,-0.95
10,154,Hungary,3,1,1,0,1,0.35,-0.05,0.6,0.25,0,0.5,0.55,0.45,-0.3,0.15,0,0.4,-0.65,0.25,-0.45,-0.7,-0.65,-0.55,-0.35,-0.5
11,49,Belgium,1,2,0,0,1,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,-0.9,-0.95,-0.05
12,57,Netherlands,1,0,0,0,0,0,0,0,0,0,0.15,-0.05,-0.4,-0.05,0.15,-0.05,0,0.1,-0.35,0.05,-0.8,-0.3,-0.05,-0.25,-0.1
13,117,Italy,6,0,1,2,0,0.05,0.05,0.8,0.05,0.15,0,0.1,0.1,0.25,0.1,0.1,-0.05,-0.3,0.15,0.15,0,-0.65,-0.85,-0.95,-1
14,86,Russia,8,0,0,0,1,0.15,0.9,-0.05,0.05,0.55,0,-0.3,0.25,-0.05,-0.35,-0.2,-0.1,-0.1,-0.25,0.2,0.05,-0.25,-0.15,-0.05,-0.3
15,78,Turkey,8,0,0,0,0,0,0,0.15,-0.05,0.3,-0.1,0,0.55,-0.05,0.1,0.25,0.25,0.35,-0.25,-0.1,-0.55,-0.1,-0.4,-0.25,-0.1
16,48,United States,2,0,0,1,0,0,0,0,0,0.05,0.15,-0.1,-0.05,0.05,0.4,0.05,0.05,0.1,0.3,-0.05,0,0,0.05,-0.4,-0.6
17,68,Mexico,2,0,1,0,0,0.1,0,0.05,0.05,0.15,0,0.1,0.1,0.15,0.4,0,-0.25,0.3,0.3,-0.7,0,-0.2,-0.15,-0.25,-0.15
18,58,Brazil,0,0,1,2,0,0.45,0,-0.1,0,0.05,-0.15,0,0,0.15,-0.25,-0.1,-0.6,0.2,-0.05,0,0,0.1,0,-0.4,-0.3
19,78,Qatar,12,0,0,1,1,0,0.25,0,0.35,0.2,0.3,-0.1,0.25,-0.25,0,-0.45,0.1,-0.25,0.1,0.15,0.15,-0.1,0.1,-0.1,-0.7
20,68,Saudi Arabia,5,2,1,4,0,0,0.05,-0.05,0.25,0.3,0,-0.15,0.35,0.05,-0.15,0.35,0.2,0,-0.3,-0.15,0.05,-0.6,0.1,-0.25,-0.05
21,60,Abu Dhabi,2,0,1,1,0,0,0,0.1,0.2,0.35,0,-0.2,0.15,0,-0.15,0.2,-0.1,0,0.25,-0.55,0,-0.15,-0.05,-0.05,0
