,Unnamed: 0,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,0,0.0,6,0.0,0.25,0.25,1.0,0.1,-0.05,-0.05,0.2,0.25,-0.1,0.0,0.35,0.1,-0.05,0.05,0.1,0.25,-0.05,0.05,-0.5,-0.6,0.1,-0.1,-0.05
1,1,0.03571428571428571,9,0.0,0.0,0.25,0.0,0.0,0.05,0.3,0.05,0.05,0.05,0.3,0.3,0.4,-0.1,-0.05,0.35,0.15,0.3,0.15,-0.2,-0.3,-0.8,-0.2,-0.8
2,2,0.07142857142857142,3,0.0,0.25,0.0,1.0,0.25,0.05,-0.05,0.0,0.0,0.05,0.3,-0.35,0.0,0.05,0.05,-0.2,0.05,0.2,0.05,0.2,-0.35,-0.05,0.0,-0.25
3,3,0.10714285714285714,10,0.0,0.5,0.0,0.0,0.05,0.2,0.25,-0.15,0.2,0.35,0.25,0.1,0.35,0.45,0.35,0.25,0.1,-0.55,0.25,-0.55,-0.65,-0.2,-0.6,-0.45
4,4,0.14285714285714285,3,0.0,0.25,0.25,1.0,0.0,0.0,0.1,-0.05,0.05,0.05,0.1,0.0,0.3,0.2,0.35,0.4,0.2,0.25,-0.2,-0.15,-0.65,-0.4,-0.35,-0.2
5,5,0.17857142857142858,4,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.55,-0.1,0.25,-0.15,0.3,-0.1,0.15,-0.15,0.0,-0.2,-0.2,-0.65
6,6,0.21428571428571427,4,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.1,-0.05,-0.05,0.0,0.05,-0.05,0.15,0.25,0.4,-0.1,-0.2,0.2,-0.05,0.05,-0.2,-0.35,-0.15
7,7,0.25,5,0.0,0.25,0.25,1.0,0.0,0.1,0.15,0.05,-0.1,0.15,-0.25,-0.05,0.15,-0.1,-0.05,0.25,0.1,0.3,0.15,0.0,0.1,-0.25,-0.4,-0.3
8,8,0.2857142857142857,11,0.0,0.0,0.25,0.0,0.15,0.05,0.15,0.05,0.15,0.25,0.45,0.25,0.45,0.5,0.05,-0.15,0.2,0.0,0.0,-0.7,0.1,-0.55,-0.9,-0.5
9,9,0.32142857142857145,10,0.0,0.5,0.0,0.0,0.05,-0.05,0.0,0.0,0.05,0.25,0.15,0.25,-0.1,0.1,0.3,0.35,0.05,0.2,-0.5,-0.4,-0.05,-0.15,-0.5,-1.0
10,10,0.35714285714285715,6,0.0,0.25,0.0,1.0,0.65,0.0,0.0,0.0,0.1,0.0,0.15,0.35,0.2,0.35,-0.3,-0.2,0.3,0.1,-0.3,-0.25,0.05,-0.85,-0.35,0.0
