Race ID,Overtakes,Country,Yellows,Reds,Safety,Virtual Safety,Rain,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,62.0,Australia,6,0,1,1,1,0.1,-0.05,-0.05,0.2,0.25,-0.1,0.0,0.35,0.1,-0.05,0.05,0.1,0.25,-0.05,0.05,-0.5,-0.6,0.1,-0.1,-0.05
1,98.0,Bahrain,9,0,0,1,0,0.0,0.05,0.3,0.05,0.05,0.05,0.3,0.3,0.4,-0.1,-0.05,0.35,0.15,0.3,0.15,-0.2,-0.3,-0.8,-0.2,-0.8
2,50.0,China,3,0,1,0,1,0.25,0.05,-0.05,0.0,0.0,0.05,0.3,-0.35,0.0,0.05,0.05,-0.2,0.05,0.2,0.05,0.2,-0.35,-0.05,0.0,-0.25
3,126.0,Azerbaijan,10,0,2,0,0,0.05,0.2,0.25,-0.15,0.2,0.35,0.25,0.1,0.35,0.45,0.35,0.25,0.1,-0.55,0.25,-0.55,-0.65,-0.2,-0.6,-0.45
4,80.0,Spain,3,0,1,1,1,0.0,0.0,0.1,-0.05,0.05,0.05,0.1,0.0,0.3,0.2,0.35,0.4,0.2,0.25,-0.2,-0.15,-0.65,-0.4,-0.35,-0.2
5,62.0,Monaco,4,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.55,-0.1,0.25,-0.15,0.3,-0.1,0.15,-0.15,0.0,-0.2,-0.2,-0.65
6,48.0,Canada,4,0,1,0,0,0.0,0.0,0.0,0.1,-0.05,-0.05,0.0,0.05,-0.05,0.15,0.25,0.4,-0.1,-0.2,0.2,-0.05,0.05,-0.2,-0.35,-0.15
7,60.0,France,5,0,1,1,1,0.0,0.1,0.15,0.05,-0.1,0.15,-0.25,-0.05,0.15,-0.1,-0.05,0.25,0.1,0.3,0.15,0.0,0.1,-0.25,-0.4,-0.3
8,112.0,Austria,11,0,0,1,0,0.15,0.05,0.15,0.05,0.15,0.25,0.45,0.25,0.45,0.5,0.05,-0.15,0.2,0.0,0.0,-0.7,0.1,-0.55,-0.9,-0.5
9,90.0,Great Britain,10,0,2,0,0,0.05,-0.05,0.0,0.0,0.05,0.25,0.15,0.25,-0.1,0.1,0.3,0.35,0.05,0.2,-0.5,-0.4,-0.05,-0.15,-0.5,-1.0
10,90.0,Germany,6,0,1,0,1,0.65,0.0,0.0,0.0,0.1,0.0,0.15,0.35,0.2,0.35,-0.3,-0.2,0.3,0.1,-0.3,-0.25,0.05,-0.85,-0.35,0.0
11,60.0,Hungary,2,0,0,2,0,0.0,0.1,0.0,0.4,-0.15,0.0,0.1,0.15,-0.2,0.0,-0.15,0.05,0.25,0.25,-0.05,0.2,-0.1,-0.1,-0.6,-0.15
12,78.0,Belgium,3,0,1,0,0,0.05,-0.05,0.2,0.75,-0.05,-0.15,-0.1,0.05,0.05,0.15,0.15,0.2,0.2,-0.15,0.15,-0.4,-0.55,-0.3,-0.2,0.0
13,72.0,Italy,2,0,1,1,1,0.1,-0.05,0.05,-0.1,0.0,0.1,0.35,-0.05,0.05,0.1,0.2,0.25,0.35,-0.25,0.15,-0.25,0.1,-0.25,-0.15,-0.7
14,58.0,Singapore,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.15,0.3,0.1,0.3,-0.35,-0.45,0.0,-0.1,0.0,-0.55
15,58.0,Russia,4,0,0,0,1,0.05,-0.05,0.0,0.0,0.7,0.6,0.0,-0.15,-0.15,-0.1,-0.1,0.0,-0.15,0.1,-0.05,-0.05,-0.3,-0.25,-0.1,0.0
16,74.0,Japan,3,0,1,1,0,0.0,0.0,0.0,0.55,-0.05,0.1,0.1,-0.15,0.1,0.15,-0.2,0.4,-0.35,0.2,0.2,0.05,-0.15,-0.4,-0.15,-0.4
17,114.0,United States,6,0,0,1,0,0.05,0.8,-0.1,0.05,-0.1,0.05,0.2,0.1,0.55,0.3,0.3,0.35,0.05,0.05,-0.3,-0.6,-0.45,-0.25,-0.65,-0.4
18,82.0,Mexico,4,0,0,3,0,0.05,0.1,0.15,-0.05,0.0,0.05,0.1,0.35,0.05,0.5,0.0,0.25,0.3,0.0,0.05,0.1,-0.8,-0.25,-0.55,-0.4
19,64.0,Brazil,3,0,0,0,0,0.0,0.15,0.05,0.35,-0.1,-0.2,0.0,0.0,0.05,0.1,0.25,0.15,-0.2,0.3,0.15,-0.1,0.0,0.05,-0.3,-0.7
20,88.0,United Arab Emirates,5,0,1,1,1,0.0,0.05,0.15,0.05,-0.15,0.25,0.05,0.3,-0.1,0.15,0.2,0.2,0.35,0.2,0.2,0.05,-0.4,-0.3,-0.75,-0.5
0,64.0,Australia,2,0,0,0,0,0.05,-0.05,0.05,-0.05,0.0,0.05,0.2,0.05,0.35,0.25,0.3,-0.2,-0.15,-0.05,-0.05,0.15,0.15,-0.6,-0.35,-0.1
1,82.0,Bahrain,13,0,1,0,0,0.1,0.1,-0.1,0.05,-0.15,0.15,0.05,0.25,0.15,0.2,0.25,0.15,-0.35,0.2,0.2,0.2,0.0,-0.4,-0.6,-0.45
2,60.0,China,1,0,0,1,0,0.05,-0.05,0.0,0.05,-0.05,0.0,0.0,0.2,0.2,-0.5,-0.05,0.2,-0.2,0.0,0.2,0.05,0.05,-0.15,-0.4,-0.6
3,89.0,Azerbaijan,8,0,0,1,0,0.0,0.0,0.0,0.0,0.15,-0.05,0.1,-0.05,0.2,-0.5,0.0,0.25,-0.05,0.05,0.05,-0.8,-0.85,-0.2,-0.65,-0.5
4,44.0,Spain,3,0,1,0,0,0.05,-0.05,0.05,-0.05,0.0,0.0,0.05,0.2,0.0,-0.15,0.0,0.05,-0.65,0.0,0.0,0.1,0.1,-0.05,-0.15,-0.5
5,50.0,Monaco,14,0,1,0,1,0.0,0.1,-0.05,-0.05,0.15,0.15,0.0,0.1,-0.15,0.15,0.05,0.2,-0.1,-0.45,0.2,0.05,-0.15,0.1,-0.05,-0.25
6,64.0,Canada,6,0,0,0,0,0.05,-0.05,0.0,0.1,0.2,-0.1,0.0,-0.15,0.4,0.0,0.0,0.15,-0.05,0.0,0.05,0.1,-0.85,0.05,-0.3,-0.6
7,48.0,France,5,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.0,0.25,0.25,-0.2,-0.05,-0.15,0.1,0.2,0.25,-0.2,-0.3,-0.1,0.0,0.05,-0.2
8,70.0,Austria,0,0,0,0,0,0.05,-0.05,0.0,0.25,-0.05,-0.05,0.05,0.55,-0.15,-0.15,0.1,0.0,0.1,0.0,0.15,-0.25,-0.05,-0.9,-0.45,-0.15
9,72.0,Great Britain,3,0,1,0,0,0.05,-0.05,0.0,0.05,-0.05,0.35,0.0,0.2,0.4,0.0,-0.15,-0.15,0.25,0.25,0.25,-0.5,-0.1,-0.35,-0.25,-0.2
10,144.0,Germany,8,0,4,2,1,0.05,0.9,0.55,0.55,0.1,0.5,-0.05,0.2,-0.4,0.4,0.3,-0.35,-0.1,-0.5,-0.6,-0.35,-0.35,0.05,-0.3,-0.6
11,50.0,Hungary,1,0,0,0,0,0.1,-0.05,0.1,0.0,0.15,0.0,0.15,-0.3,-0.1,0.1,0.25,-0.05,0.05,0.3,-0.1,-0.05,0.05,-0.05,0.0,-0.55
